currTime,acc1,acc2,Roll,Pitch,Yaw
584,319,334,-5.97,1.13,-0.12
589,319,334,-5.97,1.13,-0.12
590,319,334,-5.97,1.13,-0.12
590,319,334,-5.97,1.13,-0.12
591,319,334,-5.97,1.13,-0.12
591,319,334,-5.97,1.13,-0.12
592,319,334,-5.97,1.13,-0.12
592,319,334,-5.97,1.13,-0.12
593,319,334,-5.97,1.13,-0.12
594,319,334,-5.97,1.13,-0.12
594,319,334,-5.97,1.13,-0.12
595,319,334,-5.97,1.13,-0.12
595,319,334,-5.97,1.13,-0.12
596,319,334,-5.97,1.13,-0.12
601,319,334,-5.97,1.13,-0.12
601,319,334,-5.97,1.13,-0.12
602,319,334,-5.97,1.13,-0.12
602,319,334,-5.97,1.13,-0.12
603,319,334,-5.97,1.13,-0.12
604,319,334,-5.97,1.13,-0.12
604,319,334,-5.97,1.13,-0.12
605,319,334,-5.97,1.13,-0.12
605,319,334,-5.97,1.13,-0.12
606,319,334,-5.97,1.13,-0.12
606,319,334,-5.97,1.13,-0.12
607,319,334,-5.97,1.13,-0.12
612,319,334,-5.97,1.13,-0.12
612,319,334,-5.97,1.13,-0.12
613,319,334,-5.97,1.13,-0.12
614,319,334,-5.97,1.13,-0.12
614,319,334,-5.97,1.13,-0.12
615,319,334,-5.97,1.13,-0.12
615,319,334,-5.97,1.13,-0.12
616,319,334,-5.97,1.13,-0.12
616,319,334,-5.97,1.13,-0.12
617,319,334,-5.97,1.13,-0.12
617,319,334,-5.97,1.13,-0.12
618,319,334,-5.97,1.13,-0.12
618,319,334,-5.97,1.13,-0.12
623,319,334,-5.97,1.13,-0.12
624,319,334,-5.97,1.13,-0.12
625,319,334,-5.97,1.13,-0.12
625,319,334,-5.97,1.13,-0.12
626,319,334,-5.97,1.13,-0.12
626,319,334,-5.97,1.13,-0.12
627,319,334,-5.97,1.13,-0.12
627,319,334,-5.97,1.13,-0.12
628,319,334,-5.97,1.13,-0.12
628,319,334,-5.97,1.13,-0.12
629,319,334,-5.97,1.13,-0.12
629,319,334,-5.97,1.13,-0.12
