En Angle,IMU Angle,Diffrence
79.76,74.29,5.47
79.76,74.29,5.47
79.76,74.29,5.47
79.76,74.29,5.47
79.76,74.293,5.467
79.76,74.32,5.44
79.76,74.335,5.425
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.3415,5.4185
79.76,74.343,5.417
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.354,5.406
79.76,74.36,5.4
79.76,74.36,5.4
79.76,74.36,5.4
79.76,74.36,5.4
79.76,74.36,5.4
79.76,74.36,5.4
79.76,74.354,5.406
79.76,74.34,5.42
79.76,74.349,5.411
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.35,5.41
79.76,74.3595,5.4005
79.76,74.36,5.4
79.76,74.36,5.4
79.76,74.36,5.4
79.76,74.36,5.4
79.76,74.36,5.4
79.76,74.36,5.4
79.76,74.366,5.394
79.76,74.376,5.384
79.76,74.41,5.35
79.76,74.41,5.35
79.76,74.41,5.35
79.76,74.41,5.35
79.76,74.41,5.35
79.76,74.4115,5.3485
79.76,74.44,5.32
79.76,74.432,5.328
79.76,74.43,5.33
79.76,74.43,5.33
79.76,74.43,5.33
79.76,74.43,5.33
79.76,74.442,5.318
79.76,74.4595,5.3005
79.76,74.45,5.31
79.76,74.45,5.31
79.76,74.45,5.31
79.76,74.45,5.31
79.76,74.45,5.31
79.76,74.452,5.308
79.76,74.4885,5.2715
79.76,74.46,5.3
79.76,74.46,5.3
79.76,74.46,5.3
79.76,74.46,5.3
79.76,74.46,5.3
79.76,74.461,5.299
79.76,74.47,5.29
79.76,74.4775,5.2825
79.76,74.48,5.28
79.76,74.48,5.28
79.76,74.48,5.28
79.76,74.48,5.28
79.76,74.48,5.28
79.76,74.48,5.28
79.76,74.48,5.28
79.76,74.48,5.28
79.76,74.48,5.28
79.76,74.48,5.28
79.76,74.48,5.28
79.76,74.48,5.28
79.76,74.484,5.276
79.76,74.501,5.259
79.76,74.52,5.24
79.76,74.52,5.24
79.76,74.52,5.24
79.76,74.52,5.24
79.76,74.52,5.24
79.76,74.52,5.24
79.76,74.52,5.24
79.76,74.527,5.233
79.76,74.53,5.23
79.76,74.53,5.23
79.76,74.53,5.23
79.76,74.53,5.23
79.76,74.53,5.23
79.76,74.5375,5.2225
79.76,74.5145,5.2455
79.76,74.51,5.25
79.76,74.51,5.25
79.76,74.51,5.25
79.76,74.51,5.25
79.76,74.51,5.25
79.76,74.49,5.27
79.76,74.4645,5.2955
79.76,74.46,5.3
79.76,74.46,5.3
79.76,74.46,5.3
79.76,74.46,5.3
79.76,74.46,5.3
79.76,74.4,5.36
79.76,74.3565,5.4035
79.76,74.37,5.39
79.76,74.37,5.39
79.76,74.37,5.39
79.76,74.37,5.39
79.76,74.37,5.39
79.76,74.29,5.47
79.76,74.096,5.664
79.76,74.6,5.16
79.76,74.6,5.16
79.76,74.6,5.16
79.76,74.6,5.16
79.76,74.6,5.16
79.76,66.417,13.343
79.76,67.12,12.64
79.76,67.12,12.64
79.76,67.12,12.64
79.76,67.12,12.64
79.76,67.12,12.64
79.76,67.12,12.64
79.76,48.881,30.879
79.76,39.2175,40.5425
79.76,39.27,40.49
79.76,39.27,40.49
79.76,39.27,40.49
79.76,39.27,40.49
79.76,39.27,40.49
79.76,22.539,57.221
79.76,22.417,57.343
79.76,22.61,57.15
79.76,22.61,57.15
80.47,22.61,57.86
79.76,22.61,57.15
79.76,22.61,57.15
79.76,16.4225,63.3375
79.76,10.148,69.612
79.76,10.47,69.29
79.76,10.47,69.29
79.76,10.47,69.29
79.76,10.47,69.29
79.76,10.47,69.29
79.76,7.7855,71.9745
79.76,4.1,75.66
79.76,5.4,74.36
79.76,5.4,74.36
79.76,5.4,74.36
79.76,5.4,74.36
79.76,5.4,74.36
79.76,5.4,74.36
79.76,5.597,74.163
79.76,5.61,74.15
79.76,5.61,74.15
79.76,5.61,74.15
79.76,5.61,74.15
79.76,5.61,74.15
79.76,5.61,74.15
79.76,5.05,74.71
79.76,4.763,74.997
79.76,4.88,74.88
79.76,4.88,74.88
79.76,4.88,74.88
79.76,4.88,74.88
79.76,4.88,74.88
79.76,4.215,75.545
79.76,3.734,76.026
79.76,3.78,75.98
79.76,3.78,75.98
79.76,3.78,75.98
79.76,3.78,75.98
79.76,3.78,75.98
79.76,3.7885,75.9715
80.47,3.565,76.905
79.76,2.85,76.91
79.76,2.85,76.91
79.05,2.85,76.2
77.64,2.85,74.79
75.52,2.85,72.67
72,2.85,69.15
68.47,0.663,67.807
64.94,1.4,63.54
60,1.4,58.6
55.76,1.4,54.36
51.52,1.4,50.12
47.29,1.4,45.89
44.47,1.4,43.07
41.64,1.574,40.066
39.52,0.68,38.84
36.7,0.68,36.02
34.58,0.68,33.9
32.47,0.68,31.79
30.35,0.68,29.67
28.94,0.68,28.26
27.52,0.657,26.863
25.41,0.195,25.215
23.29,0.17,23.12
21.88,0.17,21.71
19.76,0.17,19.59
18.35,0.17,18.18
16.94,0.17,16.77
15.52,0.17,15.35
14.11,-0.0865,14.1965
12.7,-0.666,13.366
12.7,-0.68,13.38
12,-0.68,12.68
12,-0.68,12.68
12,-0.68,12.68
12,-0.68,12.68
12,-0.947,12.947
12,-1.75,13.75
12,-1.75,13.75
12,-1.75,13.75
12,-1.75,13.75
12,-1.75,13.75
12,-1.75,13.75
12,-1.21,13.21
12,-2.203,14.203
12,-2.29,14.29
12,-2.29,14.29
12,-2.29,14.29
12,-2.29,14.29
11.29,-2.29,13.58
11.29,-2.575,13.865
11.29,-2.84,14.13
11.29,-2.84,14.13
11.29,-2.84,14.13
11.29,-2.84,14.13
11.29,-2.84,14.13
11.29,-2.84,14.13
11.29,-3.496,14.786
11.29,-3.6,14.89
11.29,-3.6,14.89
10.58,-3.6,14.18
10.58,-3.6,14.18
10.58,-3.6,14.18
10.58,-3.6,14.18
10.58,-3.354,13.934
10.58,-4.14,14.72
10.58,-4.14,14.72
